feedback_id,customer_id,timestamp,customer_name,customer_email,customer_location,feedback_type,sentiment_label,feedback_text,sentiment_score,rating,product_name,purchase_date,topics_detected,cleaned_feedback
F000011,C000011,11/12/24 17:45,Zoya Siddiqui,zoya.siddiqui@gmail.com,Raipur,Complaint,Positive,"मुझे बहुत पसंद आया, quality excellent है!",0.85,3,Sony Bravia OLED TV,10/28/24,"Usability, Pricing",    quality excellent 
F000012,C000012,4/11/24 17:45,Bhavesh Patel,bhavesh.patel@gmail.com,Allahabad,Suggestion,Positive,"अच्छा है, लेकिन थोड़े improvement की जरूरत है।",0.3,2,Dove Shampoo,11/6/24,"Support, Delivery, Pricing",    improvement   
F000013,C000013,9/22/24 17:45,Bhavesh Patel,bhavesh.patel@gmail.com,Visakhapatnam,Suggestion,Positive,"उम्मीद से भी अच्छा निकला, best purchase!",-0.46,1,Nestle KitKat,10/19/24,"Pricing, Product Quality, Usability",     best purchase
F000014,C000014,2/4/25 17:45,Rohit Sinha,rohit.sinha@rediffmail.com,Ludhiana,Complaint,Negative,"Not bad, but not great either.",0.09,3,OnePlus 11,10/7/24,"Variety, Refund, Delivery",not bad but not great either
F000015,C000015,4/20/24 17:45,Sakshi Thakur,sakshi.thakur@hotmail.com,Pune,Suggestion,Negative,"Not bad, but not great either.",0.95,1,Nestle KitKat,2/16/25,"Delivery, Variety, Support",not bad but not great either
F000016,C000016,4/6/24 17:45,Omkar Kulkarni,omkar.kulkarni@yahoo.in,Allahabad,Praise,Negative,"Late delivery, customer support बेकार है।",0.98,3,Apple iPad Air,12/15/24,"Product Quality, Refund, Usability",late delivery customer support  
F000017,C000017,1/19/25 17:45,Akhil Nair,akhil.nair@yahoo.in,Amritsar,Praise,Neutral,"ठीक है, पर इतना खास नहीं।",-0.72,5,Bajaj Mixer Grinder,1/6/25,"Usability, Pricing, Variety",     
F000018,C000018,6/10/24 17:45,Vikas Choudhary,vikas.choudhary@hotmail.com,Navi Mumbai,Complaint,Neutral,"बेकार product, एक हफ्ते में खराब हो गया!",-0.45,4,Horlicks Classic Malt,3/14/25,Pricing, product      
F000019,C000019,5/4/24 17:45,Arjun Singh,arjun.singh@yahoo.in,Jaipur,Suggestion,Neutral,"धन्यवाद, समय पर delivery हो गया!",0.32,5,OnePlus 11,3/5/25,"Product Quality, Variety, Refund",   delivery  
F000020,C000020,5/3/24 17:45,Akhil Nair,akhil.nair@outlook.com,Nashik,Praise,Negative,"Not bad, but not great either.",0.54,1,Adidas Ultraboost,1/27/25,"Delivery, Pricing, Variety",not bad but not great either
F000021,C000021,2/6/25 17:45,Rohit Sinha,rohit.sinha@outlook.com,Vijayawada,Complaint,Negative,"Late delivery, customer support बेकार है।",0.31,3,Bajaj Mixer Grinder,11/5/24,"Usability, Refund",late delivery customer support  
F000022,C000022,1/8/25 17:45,Vikas Choudhary,vikas.choudhary@gmail.com,Faridabad,Praise,Negative,"Not bad, but not great either.",-0.47,1,Horlicks Classic Malt,10/27/24,"Support, Delivery, Variety",not bad but not great either
F000023,C000023,12/14/24 17:45,Lakshmi Rao,lakshmi.rao@gmail.com,Kota,Praise,Positive,"5-star service, super helpful!",-0.87,3,Bisleri 1L Water Bottle,2/7/25,"Usability, Refund, Pricing",star service super helpful
F000024,C000024,8/30/24 17:45,Zoya Siddiqui,zoya.siddiqui@hotmail.com,Pimpri-Chinchwad,Complaint,Negative,"Item damaged आया, refund भी नहीं मिला!",0.29,2,Samsung Galaxy Tab S8,12/31/24,"Usability, Pricing",item damaged  refund   
F000025,C000025,10/17/24 17:45,Akhil Nair,akhil.nair@rediffmail.com,Mumbai,Praise,Neutral,"धन्यवाद, समय पर delivery हो गया!",-0.63,1,Himalaya Face Wash,10/4/24,Pricing,   delivery  
F000026,C000026,6/13/24 17:45,Arjun Singh,arjun.singh@gmail.com,Delhi,Suggestion,Positive,"मुझे बहुत पसंद आया, quality excellent है!",-0.54,1,Levi's Jeans,1/17/25,Support,    quality excellent 
F000027,C000027,1/2/25 17:45,Akhil Nair,akhil.nair@yahoo.in,Visakhapatnam,Suggestion,Positive,"5-star service, super helpful!",0.47,4,Bisleri 1L Water Bottle,10/7/24,"Pricing, Usability, Variety",star service super helpful
F000028,C000028,5/27/24 17:45,Kunal Deshmukh,kunal.deshmukh@yahoo.in,Visakhapatnam,Suggestion,Positive,"मुझे बहुत पसंद आया, quality excellent है!",-0.31,1,Vivo V27 Pro,12/17/24,"Refund, Support, Product Quality",    quality excellent 
F000029,C000029,12/11/24 17:45,Lakshmi Rao,lakshmi.rao@gmail.com,Chandigarh,Suggestion,Neutral,"Quality ठीक है, पर price थोड़ा ज्यादा है।",0.84,5,Brooke Bond Red Label,2/8/25,Variety,quality    price   
F000030,C000030,6/10/24 17:45,Rohit Sinha,rohit.sinha@gmail.com,Agra,Suggestion,Positive,बहुत बढ़िया प्रोडक्ट! Highly recommended.,-0.24,3,Nike Air Max Shoes,11/26/24,"Pricing, Delivery",   highly recommended
F000031,C000031,4/5/24 17:45,Niharika Pandey,niharika.pandey@outlook.com,Allahabad,Complaint,Neutral,"ठीक है, पर इतना खास नहीं।",0.51,4,HP Pavilion x360 Laptop,2/3/25,"Product Quality, Delivery, Usability",     
F000032,C000032,8/14/24 17:45,Aarav Sharma,aarav.sharma@rediffmail.com,Navi Mumbai,Complaint,Positive,"उम्मीद से भी अच्छा निकला, best purchase!",-0.32,1,Horlicks Classic Malt,2/27/25,"Refund, Product Quality, Support",     best purchase
F000033,C000033,12/28/24 17:45,Akhil Nair,akhil.nair@yahoo.in,Raipur,Suggestion,Positive,"अच्छा है, लेकिन थोड़े improvement की जरूरत है।",0.49,2,L'Oreal Paris Lipstick,2/8/25,Pricing,    improvement   
F000034,C000034,5/1/24 17:45,Ananya Reddy,ananya.reddy@hotmail.com,Delhi,Praise,Negative,"Late delivery, customer support बेकार है।",0.1,4,Redmi Smart TV,1/30/25,Usability,late delivery customer support  
F000035,C000035,3/5/25 17:45,Gaurav Yadav,gaurav.yadav@hotmail.com,Ahmedabad,Complaint,Negative,"Not bad, but not great either.",-0.88,3,HP Pavilion x360 Laptop,10/7/24,Usability,not bad but not great either
F000036,C000036,10/17/24 17:45,Aditi Verma,aditi.verma@yahoo.in,Thane,Praise,Positive,"मुझे बहुत पसंद आया, quality excellent है!",0.62,1,Boat Airdopes 141,2/21/25,"Variety, Refund",    quality excellent 
F000037,C000037,5/15/24 17:45,Sakshi Thakur,sakshi.thakur@yahoo.in,Pune,Suggestion,Negative,"Not worth the price, I am disappointed!",0.87,3,Nestle KitKat,1/24/25,"Refund, Product Quality, Delivery",not worth the price i am disappointed
F000038,C000038,6/14/24 17:45,Gaurav Yadav,gaurav.yadav@gmail.com,Hyderabad,Praise,Neutral,"ठीक है, पर इतना खास नहीं।",0.2,1,Colgate Toothpaste,12/3/24,"Product Quality, Support, Delivery",     
F000039,C000039,5/13/24 17:45,Devansh Gupta,devansh.gupta@hotmail.com,Kanpur,Complaint,Positive,"मुझे बहुत पसंद आया, quality excellent है!",0.52,1,Samsung Galaxy Tab S8,2/2/25,"Support, Usability, Pricing",    quality excellent 
F000040,C000040,6/21/24 17:45,Harshita Iyer,harshita.iyer@outlook.com,Gwalior,Suggestion,Neutral,"धन्यवाद, समय पर delivery हो गया!",0.33,2,Mi Power Bank,11/5/24,Support,   delivery  
F000041,C000041,8/7/24 17:45,Ishaan Malhotra,ishaan.malhotra@rediffmail.com,Aurangabad,Complaint,Positive,"उम्मीद से भी अच्छा निकला, best purchase!",0.52,3,Boat Airdopes 141,3/3/25,"Product Quality, Refund",     best purchase
F000042,C000042,6/9/24 17:45,Rohit Sinha,rohit.sinha@gmail.com,Faridabad,Complaint,Negative,"Not worth the price, I am disappointed!",-0.54,3,Dove Shampoo,2/18/25,"Product Quality, Delivery",not worth the price i am disappointed
F000043,C000043,2/25/25 17:45,Bhavesh Patel,bhavesh.patel@yahoo.in,Kanpur,Suggestion,Positive,"मुझे बहुत पसंद आया, quality excellent है!",-0.28,5,Puma Running Shoes,3/2/25,"Product Quality, Variety",    quality excellent 
F000044,C000044,7/17/24 17:45,Aditi Verma,aditi.verma@outlook.com,Nashik,Suggestion,Negative,"Late delivery, customer support बेकार है।",0.97,4,Apple iPhone 15,12/3/24,"Delivery, Variety, Refund",late delivery customer support  
F000045,C000045,3/4/25 17:45,Pooja Agarwal,pooja.agarwal@outlook.com,Vadodara,Suggestion,Positive,"उम्मीद से भी अच्छा निकला, best purchase!",0.06,1,Bisleri 1L Water Bottle,1/7/25,"Pricing, Product Quality",     best purchase
F000046,C000046,4/24/24 17:45,Bhavesh Patel,bhavesh.patel@outlook.com,Rajkot,Suggestion,Positive,"मुझे बहुत पसंद आया, quality excellent है!",-0.9,2,Apple iPad Air,12/20/24,Support,    quality excellent 
F000047,C000047,10/16/24 17:45,Esha Chatterjee,esha.chatterjee@rediffmail.com,Nashik,Suggestion,Negative,"Late delivery, customer support बेकार है।",-0.56,4,L'Oreal Paris Lipstick,11/21/24,"Variety, Product Quality",late delivery customer support  
F000048,C000048,3/3/25 17:45,Vikas Choudhary,vikas.choudhary@outlook.com,Lucknow,Suggestion,Negative,"Item damaged आया, refund भी नहीं मिला!",0.69,5,Tanishq Gold Ring,1/8/25,"Product Quality, Support",item damaged  refund   
F000049,C000049,5/23/24 17:45,Harshita Iyer,harshita.iyer@rediffmail.com,Bangalore,Praise,Negative,"Not bad, but not great either.",0.73,4,Nestle KitKat,10/24/24,Delivery,not bad but not great either
F000050,C000050,11/9/24 17:45,Omkar Kulkarni,omkar.kulkarni@hotmail.com,Thane,Suggestion,Negative,"Not bad, but not great either.",-0.05,3,Raymond Suit,11/30/24,"Product Quality, Variety",not bad but not great either
F000051,C000051,2/11/25 17:45,Esha Chatterjee,esha.chatterjee@yahoo.in,Nagpur,Suggestion,Positive,"मुझे बहुत पसंद आया, quality excellent है!",0.39,5,Adidas Ultraboost,2/26/25,"Support, Variety, Refund",    quality excellent 
F000052,C000052,10/19/24 17:45,Urvashi Sharma,urvashi.sharma@rediffmail.com,Ludhiana,Complaint,Neutral,"ठीक है, पर इतना खास नहीं।",-0.41,1,Brooke Bond Red Label,2/6/25,"Refund, Delivery, Product Quality",     
F000053,C000053,6/6/24 17:45,Arjun Singh,arjun.singh@outlook.com,Patna,Suggestion,Neutral,"बेकार product, एक हफ्ते में खराब हो गया!",-0.2,3,JBL Bluetooth Speaker,2/2/25,Support, product      
F000054,C000054,1/20/25 17:45,Aditi Verma,aditi.verma@rediffmail.com,Hyderabad,Complaint,Negative,"Late delivery, customer support बेकार है।",-0.42,2,Bournvita Health Drink,12/5/24,Usability,late delivery customer support  
F000055,C000055,4/4/24 17:45,Arjun Singh,arjun.singh@hotmail.com,Faridabad,Complaint,Neutral,"बेकार product, एक हफ्ते में खराब हो गया!",-0.26,1,Tanishq Gold Ring,10/19/24,"Refund, Pricing, Usability", product      
F000056,C000056,1/10/25 17:45,Aarav Sharma,aarav.sharma@rediffmail.com,Nagpur,Suggestion,Positive,बहुत बढ़िया प्रोडक्ट! Highly recommended.,0.65,5,Bisleri 1L Water Bottle,3/2/25,"Delivery, Refund",   highly recommended
F000057,C000057,7/20/24 17:45,Kunal Deshmukh,kunal.deshmukh@yahoo.in,Kolkata,Praise,Negative,"Not bad, but not great either.",-0.57,5,OnePlus 11,10/3/24,Usability,not bad but not great either
F000058,C000058,4/1/24 17:45,Lakshmi Rao,lakshmi.rao@yahoo.in,Ahmedabad,Suggestion,Neutral,"Quality ठीक है, पर price थोड़ा ज्यादा है।",0.85,5,Colgate Toothpaste,12/20/24,"Delivery, Support, Product Quality",quality    price   
F000059,C000059,1/15/25 17:45,Lakshmi Rao,lakshmi.rao@outlook.com,Kolkata,Praise,Negative,"Not worth the price, I am disappointed!",0.91,1,HP Pavilion x360 Laptop,3/11/25,Product Quality,not worth the price i am disappointed
F000060,C000060,8/5/24 17:45,Lakshmi Rao,lakshmi.rao@gmail.com,Kota,Suggestion,Negative,"Late delivery, customer support बेकार है।",0.11,2,OnePlus 11,3/10/25,Usability,late delivery customer support  
F000061,C000061,4/28/24 17:45,Lakshmi Rao,lakshmi.rao@yahoo.in,Ghaziabad,Praise,Positive,"अच्छा है, लेकिन थोड़े improvement की जरूरत है।",-0.27,4,Apple iPhone 15,12/12/24,"Variety, Pricing, Refund",    improvement   
F000062,C000062,6/3/24 17:45,Devansh Gupta,devansh.gupta@yahoo.in,Vadodara,Complaint,Positive,"अच्छा है, लेकिन थोड़े improvement की जरूरत है।",0.13,4,Britannia Marie Gold,2/6/25,"Delivery, Refund, Product Quality",    improvement   
F000063,C000063,12/30/24 17:45,Aditi Verma,aditi.verma@hotmail.com,Agra,Complaint,Positive,बहुत बढ़िया प्रोडक्ट! Highly recommended.,0.54,4,Amul Butter,12/9/24,"Refund, Usability, Support",   highly recommended
F000064,C000064,9/1/24 17:45,Rohit Sinha,rohit.sinha@yahoo.in,Hyderabad,Complaint,Neutral,"धन्यवाद, समय पर delivery हो गया!",0.06,3,Xiaomi Redmi Note 12,10/21/24,"Support, Pricing",   delivery  
F000065,C000065,11/30/24 17:45,Arjun Singh,arjun.singh@yahoo.in,Pune,Complaint,Positive,"5-star service, super helpful!",-0.47,5,Redmi Smart TV,10/18/24,"Refund, Support",star service super helpful
F000066,C000066,3/25/24 17:45,Akhil Nair,akhil.nair@yahoo.in,Srinagar,Praise,Neutral,"धन्यवाद, समय पर delivery हो गया!",0.67,1,LG Refrigerator 260L,1/1/25,"Support, Refund, Usability",   delivery  
F000067,C000067,3/16/25 17:45,Urvashi Sharma,urvashi.sharma@hotmail.com,Lucknow,Complaint,Negative,"Not worth the price, I am disappointed!",-0.07,3,Samsung Galaxy Tab S8,12/21/24,Variety,not worth the price i am disappointed
F000068,C000068,2/16/25 17:45,Tanmay Bansal,tanmay.bansal@rediffmail.com,Aurangabad,Suggestion,Neutral,"धन्यवाद, समय पर delivery हो गया!",0.35,5,Asus ROG Strix,2/6/25,"Pricing, Refund, Variety",   delivery  
F000069,C000069,3/22/24 17:45,Sakshi Thakur,sakshi.thakur@hotmail.com,Bhopal,Praise,Neutral,"ठीक है, पर इतना खास नहीं।",0.71,3,Tanishq Gold Ring,1/23/25,"Pricing, Delivery, Refund",     
F000070,C000070,8/17/24 17:45,Zoya Siddiqui,zoya.siddiqui@rediffmail.com,Vijayawada,Praise,Neutral,"ठीक है, पर इतना खास नहीं।",0.79,3,Colgate Toothpaste,10/10/24,"Product Quality, Support, Variety",     
F000071,C000071,1/16/25 17:45,Vikas Choudhary,vikas.choudhary@gmail.com,Guwahati,Suggestion,Positive,"अच्छा है, लेकिन थोड़े improvement की जरूरत है।",0.17,2,Mi Power Bank,10/7/24,Delivery,    improvement   
F000072,C000072,6/6/24 17:45,Farhan Khan,farhan.khan@outlook.com,Allahabad,Suggestion,Neutral,"बेकार product, एक हफ्ते में खराब हो गया!",-0.96,5,Himalaya Face Wash,12/13/24,"Support, Refund, Variety", product      
F000073,C000073,8/31/24 17:45,Aditi Verma,aditi.verma@rediffmail.com,Jabalpur,Praise,Neutral,"मिश्रित अनुभव, कुछ अच्छा कुछ खराब।",0.78,3,Asus ROG Strix,10/27/24,"Support, Refund, Usability",     
F000074,C000074,8/23/24 17:45,Harshita Iyer,harshita.iyer@yahoo.in,Delhi,Praise,Positive,"मुझे बहुत पसंद आया, quality excellent है!",-0.14,5,Himalaya Face Wash,9/23/24,"Product Quality, Delivery",    quality excellent 
F000075,C000075,7/12/24 17:45,Esha Chatterjee,esha.chatterjee@yahoo.in,Kota,Suggestion,Positive,"मुझे बहुत पसंद आया, quality excellent है!",0.88,2,Bisleri 1L Water Bottle,12/2/24,"Delivery, Usability, Refund",    quality excellent 
F000076,C000076,3/24/24 17:45,Gaurav Yadav,gaurav.yadav@outlook.com,Vijayawada,Complaint,Positive,"उम्मीद से भी अच्छा निकला, best purchase!",0.75,3,Samsung Galaxy S23,3/10/25,Support,     best purchase
F000077,C000077,4/14/24 17:45,Esha Chatterjee,esha.chatterjee@outlook.com,Visakhapatnam,Praise,Negative,"Item damaged आया, refund भी नहीं मिला!",0.56,4,Realme Buds Wireless,2/9/25,"Refund, Usability, Support",item damaged  refund   
F000078,C000078,12/31/24 17:45,Bhavesh Patel,bhavesh.patel@rediffmail.com,Howrah,Suggestion,Positive,"बहुत खराब service, improve करो।",-0.51,3,Asus ROG Strix,12/16/24,Product Quality,  service improve 
F000079,C000079,8/6/24 17:45,Aarav Sharma,aarav.sharma@gmail.com,Howrah,Complaint,Neutral,"ठीक है, पर इतना खास नहीं।",0.74,4,Haldiram's Rasgulla,12/8/24,"Usability, Support, Refund",     
F000080,C000080,12/30/24 17:45,Devansh Gupta,devansh.gupta@rediffmail.com,Guwahati,Praise,Negative,"Not bad, but not great either.",-0.98,2,Puma Running Shoes,12/7/24,Refund,not bad but not great either
F000081,C000081,12/24/24 17:45,Madhav Joshi,madhav.joshi@rediffmail.com,Hyderabad,Suggestion,Positive,"उम्मीद से भी अच्छा निकला, best purchase!",-0.97,3,Maybelline Mascara,12/28/24,"Support, Product Quality, Refund",     best purchase
F000082,C000082,7/18/24 17:45,Esha Chatterjee,esha.chatterjee@hotmail.com,Jaipur,Complaint,Positive,"बहुत खराब service, improve करो।",0.84,5,Apple iPhone 15,9/21/24,Pricing,  service improve 
F000083,C000083,8/9/24 17:45,Devansh Gupta,devansh.gupta@gmail.com,Howrah,Praise,Positive,"उम्मीद से भी अच्छा निकला, best purchase!",-0.89,1,Samsung Galaxy S23,3/1/25,Product Quality,     best purchase
F000084,C000084,3/25/24 17:45,Bhavesh Patel,bhavesh.patel@gmail.com,Raipur,Praise,Neutral,"बेकार product, एक हफ्ते में खराब हो गया!",0.66,5,Maggi Noodles,11/30/24,Variety, product      
F000085,C000085,3/6/25 17:45,Niharika Pandey,niharika.pandey@yahoo.in,Gwalior,Suggestion,Positive,"5-star service, super helpful!",0.66,2,Amul Butter,10/11/24,"Delivery, Support",star service super helpful
F000086,C000086,10/31/24 17:45,Farhan Khan,farhan.khan@hotmail.com,Patna,Suggestion,Neutral,"बेकार product, एक हफ्ते में खराब हो गया!",0.51,4,Asus ROG Strix,2/20/25,"Support, Variety", product      
F000087,C000087,12/24/24 17:45,Niharika Pandey,niharika.pandey@yahoo.in,Ghaziabad,Praise,Neutral,"मिश्रित अनुभव, कुछ अच्छा कुछ खराब।",-0.71,5,Colgate Toothpaste,11/23/24,"Pricing, Variety",     
F000088,C000088,1/24/25 17:45,Akhil Nair,akhil.nair@yahoo.in,Aurangabad,Complaint,Positive,"अच्छा है, लेकिन थोड़े improvement की जरूरत है।",-0.22,2,Syska Hair Dryer,2/20/25,Variety,    improvement   
F000089,C000089,12/10/24 17:45,Vikas Choudhary,vikas.choudhary@outlook.com,Madurai,Suggestion,Negative,"Not bad, but not great either.",-0.76,4,Realme Buds Wireless,12/9/24,"Refund, Delivery, Product Quality",not bad but not great either
F000090,C000090,9/2/24 17:45,Tanmay Bansal,tanmay.bansal@hotmail.com,Nashik,Praise,Positive,बहुत बढ़िया प्रोडक्ट! Highly recommended.,0.06,2,Dove Shampoo,10/9/24,Product Quality,   highly recommended
F000091,C000091,10/6/24 17:45,Aarav Sharma,aarav.sharma@rediffmail.com,Allahabad,Praise,Positive,"उम्मीद से भी अच्छा निकला, best purchase!",0.95,4,Samsung Galaxy S23,1/1/25,"Support, Refund, Pricing",     best purchase
F000092,C000092,6/25/24 17:45,Devansh Gupta,devansh.gupta@outlook.com,Amritsar,Suggestion,Positive,"बहुत खराब service, improve करो।",0.08,1,Dell Inspiron 15,2/12/25,"Product Quality, Pricing",  service improve 
F000093,C000093,6/10/24 17:45,Zoya Siddiqui,zoya.siddiqui@hotmail.com,Jodhpur,Praise,Positive,"उम्मीद से भी अच्छा निकला, best purchase!",-0.55,1,OnePlus 11,10/13/24,Variety,     best purchase
F000094,C000094,5/9/24 17:45,Madhav Joshi,madhav.joshi@outlook.com,Coimbatore,Suggestion,Negative,"Not worth the price, I am disappointed!",0.58,3,Raymond Suit,9/24/24,Support,not worth the price i am disappointed
F000095,C000095,4/13/24 17:45,Urvashi Sharma,urvashi.sharma@outlook.com,Patna,Suggestion,Negative,"Not bad, but not great either.",0.4,2,Bournvita Health Drink,10/25/24,"Refund, Support, Product Quality",not bad but not great either
F000096,C000096,12/23/24 17:45,Lakshmi Rao,lakshmi.rao@hotmail.com,Vijayawada,Suggestion,Positive,"अच्छा है, लेकिन थोड़े improvement की जरूरत है।",0.43,5,Tanishq Gold Ring,12/3/24,"Delivery, Product Quality",    improvement   
F000097,C000097,10/10/24 17:45,Vikas Choudhary,vikas.choudhary@rediffmail.com,Jabalpur,Complaint,Positive,"अच्छा है, लेकिन थोड़े improvement की जरूरत है।",-0.3,1,Dove Shampoo,11/5/24,"Pricing, Delivery",    improvement   
F000098,C000098,11/30/24 17:45,Devansh Gupta,devansh.gupta@outlook.com,Srinagar,Praise,Neutral,"धन्यवाद, समय पर delivery हो गया!",-0.2,4,Redmi Smart TV,3/12/25,"Usability, Pricing, Variety",   delivery  
F000099,C000099,10/9/24 17:45,Gaurav Yadav,gaurav.yadav@yahoo.in,Patna,Complaint,Positive,"उम्मीद से भी अच्छा निकला, best purchase!",0.1,5,Himalaya Face Wash,9/26/24,"Refund, Pricing, Variety",     best purchase
F000100,C000100,1/14/25 17:45,Zoya Siddiqui,zoya.siddiqui@yahoo.in,Gwalior,Complaint,Neutral,"बेकार product, एक हफ्ते में खराब हो गया!",-0.81,2,Dell Inspiron 15,12/2/24,"Refund, Delivery", product      
F000101,C000101,12/29/24 17:45,Bhavesh Patel,bhavesh.patel@gmail.com,Delhi,Praise,Positive,"उम्मीद से भी अच्छा निकला, best purchase!",-0.21,4,Haldiram's Rasgulla,2/13/25,"Variety, Delivery, Support",     best purchase
F000102,C000102,11/5/24 17:45,Arjun Singh,arjun.singh@outlook.com,Thane,Suggestion,Positive,"बहुत खराब service, improve करो।",0.5,1,Asus ROG Strix,10/17/24,"Product Quality, Usability, Variety",  service improve 
F000103,C000103,1/22/25 17:45,Vikas Choudhary,vikas.choudhary@rediffmail.com,Ahmedabad,Complaint,Negative,"Late delivery, customer support बेकार है।",-0.64,4,Philips LED Bulb,12/5/24,Support,late delivery customer support  
F000104,C000104,4/18/24 17:45,Akhil Nair,akhil.nair@rediffmail.com,Allahabad,Complaint,Positive,"अच्छा है, लेकिन थोड़े improvement की जरूरत है।",0.78,3,HP Pavilion x360 Laptop,1/26/25,"Variety, Usability",    improvement   
F000105,C000105,1/19/25 17:45,Bhavesh Patel,bhavesh.patel@gmail.com,Madurai,Praise,Positive,"बहुत खराब service, improve करो।",-0.82,1,Maggi Noodles,3/4/25,"Delivery, Usability",  service improve 
F000106,C000106,10/7/24 17:45,Vikas Choudhary,vikas.choudhary@gmail.com,Ghaziabad,Complaint,Negative,"Item damaged आया, refund भी नहीं मिला!",0.63,5,JBL Bluetooth Speaker,11/19/24,Delivery,item damaged  refund   
F000107,C000107,8/15/24 17:45,Rohit Sinha,rohit.sinha@outlook.com,Surat,Complaint,Positive,बहुत बढ़िया प्रोडक्ट! Highly recommended.,0.14,3,Bournvita Health Drink,9/20/24,"Product Quality, Support",   highly recommended
F000108,C000108,9/27/24 17:45,Harshita Iyer,harshita.iyer@yahoo.in,Jabalpur,Complaint,Negative,"Not bad, but not great either.",0.62,5,Brooke Bond Red Label,10/2/24,Delivery,not bad but not great either
F000109,C000109,7/6/24 17:45,Farhan Khan,farhan.khan@rediffmail.com,Aurangabad,Complaint,Positive,"उम्मीद से भी अच्छा निकला, best purchase!",0.24,3,OnePlus 11,12/16/24,"Product Quality, Usability, Support",     best purchase
F000110,C000110,7/9/24 17:45,Ishaan Malhotra,ishaan.malhotra@rediffmail.com,Navi Mumbai,Suggestion,Neutral,"बेकार product, एक हफ्ते में खराब हो गया!",-0.3,2,Realme Buds Wireless,9/22/24,"Variety, Pricing, Refund", product      
F000111,C000111,1/2/25 17:45,Zoya Siddiqui,zoya.siddiqui@rediffmail.com,Howrah,Complaint,Negative,"Not worth the price, I am disappointed!",-0.23,5,Puma Running Shoes,11/28/24,Pricing,not worth the price i am disappointed
F000112,C000112,1/3/25 17:45,Niharika Pandey,niharika.pandey@hotmail.com,Vijayawada,Complaint,Neutral,"धन्यवाद, समय पर delivery हो गया!",-0.9,3,Sony Bravia OLED TV,1/8/25,"Delivery, Variety",   delivery  
F000113,C000113,2/15/25 17:45,Aarav Sharma,aarav.sharma@rediffmail.com,Varanasi,Complaint,Positive,"5-star service, super helpful!",0.71,5,LG Refrigerator 260L,9/21/24,"Pricing, Delivery, Refund",star service super helpful
F000114,C000114,10/17/24 17:45,Pooja Agarwal,pooja.agarwal@gmail.com,Patna,Praise,Neutral,"मिश्रित अनुभव, कुछ अच्छा कुछ खराब।",-0.44,3,OnePlus 11,12/9/24,"Refund, Usability",     
F000115,C000115,5/14/24 17:45,Bhavesh Patel,bhavesh.patel@rediffmail.com,Kota,Praise,Negative,"Item damaged आया, refund भी नहीं मिला!",0.08,5,Puma Running Shoes,11/8/24,"Variety, Refund",item damaged  refund   
